등급,어휘,품사,어종,원어,의미,日本語訳,定義,外来語_カタカナ候補,外来語_原語候補,品質フラグ,tags
1등급,가다,동사,고유어,,"[Ⅰ][1]「1」한곳에서 다른 곳으로 장소를 이동하다.
[Ⅰ][1]「2」수레, 배, 자동차, 비행기 따위가 운행하거나 다니다.
[Ⅰ][1]「3」지금 있는 곳에서 어떠한 목적을 가지고 다른 곳으로 옮기다.
[Ⅰ][1]「4」직업이나 학업, 복무 따위로 해서 다른 곳으로 옮기다.
[Ⅰ][2]「1」직책이나 자리를 옮기다.
[Ⅰ][2]「2」물건이나 권리 따위가 누구에게 옮겨지다.
[Ⅰ][2]「3」관심이나 눈길 따위가 쏠리다.
[Ⅰ][2]「4」말이나 소식 따위가 알려지거나 전하여지다.
[Ⅰ][2]「5」그러한 상태가 생기거나 일어나다.
[Ⅰ][3]일정한 목적을 가진 모임에 참석하기 위하여 이동하다.
[Ⅰ][4]「1」어떤 상태나 상황을 향하여 나아가다.
[Ⅰ][4]「2」한쪽으로 흘러가다.
[Ⅰ][4]「3」동력원으로 하여 작동하다.
[Ⅰ][4]「4」물체가 한쪽으로 기울어지다.
[Ⅰ][5]「1」금, 줄, 주름살, 흠집 따위가 생기다.
[Ⅰ][5]「2」건강에 해가 되다.
[Ⅰ][5]「3」일정한 시간이 되거나 일정한 곳에 이르다.
[Ⅰ][5]「4」일정한 대상에 미치어 작용하다.
[Ⅰ][5]「5」어떤 일을 하는 데 수고가 많이 들다.
[Ⅰ][6]「1」어떤 대상이 다른 곳으로 이동하여 사라지다.
[Ⅰ][6]「2」지나거나 흐르다.
[Ⅰ][6]「3」기계 따위가 제대로 작동하다.
[Ⅰ][6]「4」외부의 충격이나 영향으로 정신을 제대로 차리지 못하는 혼미한 상태가 되다.
[Ⅰ][6]「5」전기 따위가 꺼지거나 통하지 않다.
[Ⅰ][6]「6」(완곡하게) 사람이 죽다.
[Ⅰ][7]「1」어떤 일에 대하여 납득이나 이해, 짐작 따위가 되다.
[Ⅰ][7]「2」가치나 값, 순위 따위를 나타내는 말과 결합하여 어떤 대상을 기준으로 해서 어느 정도까지 이르다.
[Ⅰ][7]「3」원래의 상태를 잃고 상하거나 변질되다.
[Ⅰ][7]「4」때나 얼룩이 잘 빠지다.
[Ⅰ][8]어떤 경로를 통하여 움직이다.
[Ⅰ][9]「1」어떤 일을 하기 위하여 다른 곳으로 이동하다.
[Ⅰ][9]「2」노름이나 내기에서 얼마의 액수를 판돈으로 걸다.
[Ⅰ][10]어떤 현상이나 상태가 유지되다.
[Ⅱ]말하는 이, 또는 말하는 이가 정하는 어떤 기준점에서 멀어지면서 앞말이 뜻하는 행동이나 상태가 계속 진행됨을 나타내는 말.",,"[Ⅰ][1]「1」한곳에서 다른 곳으로 장소를 이동하다.
[Ⅰ][1]「2」수레, 배, 자동차, 비행기 따위가 운행하거나 다니다.
[Ⅰ][1]「3」지금 있는 곳에서 어떠한 목적을 가지고 다른 곳으로 옮기다.
[Ⅰ][1]「4」직업이나 학업, 복무 따위로 해서 다른 곳으로 옮기다.
[Ⅰ][2]「1」직책이나 자리를 옮기다.
[Ⅰ][2]「2」물건이나 권리 따위가 누구에게 옮겨지다.
[Ⅰ][2]「3」관심이나 눈길 따위가 쏠리다.
[Ⅰ][2]「4」말이나 소식 따위가 알려지거나 전하여지다.
[Ⅰ][2]「5」그러한 상태가 생기거나 일어나다.
[Ⅰ][3]일정한 목적을 가진 모임에 참석하기 위하여 이동하다.
[Ⅰ][4]「1」어떤 상태나 상황을 향하여 나아가다.
[Ⅰ][4]「2」한쪽으로 흘러가다.
[Ⅰ][4]「3」동력원으로 하여 작동하다.
[Ⅰ][4]「4」물체가 한쪽으로 기울어지다.
[Ⅰ][5]「1」금, 줄, 주름살, 흠집 따위가 생기다.
[Ⅰ][5]「2」건강에 해가 되다.
[Ⅰ][5]「3」일정한 시간이 되거나 일정한 곳에 이르다.
[Ⅰ][5]「4」일정한 대상에 미치어 작용하다.
[Ⅰ][5]「5」어떤 일을 하는 데 수고가 많이 들다.
[Ⅰ][6]「1」어떤 대상이 다른 곳으로 이동하여 사라지다.
[Ⅰ][6]「2」지나거나 흐르다.
[Ⅰ][6]「3」기계 따위가 제대로 작동하다.
[Ⅰ][6]「4」외부의 충격이나 영향으로 정신을 제대로 차리지 못하는 혼미한 상태가 되다.
[Ⅰ][6]「5」전기 따위가 꺼지거나 통하지 않다.
[Ⅰ][6]「6」(완곡하게) 사람이 죽다.
[Ⅰ][7]「1」어떤 일에 대하여 납득이나 이해, 짐작 따위가 되다.
[Ⅰ][7]「2」가치나 값, 순위 따위를 나타내는 말과 결합하여 어떤 대상을 기준으로 해서 어느 정도까지 이르다.
[Ⅰ][7]「3」원래의 상태를 잃고 상하거나 변질되다.
[Ⅰ][7]「4」때나 얼룩이 잘 빠지다.
[Ⅰ][8]어떤 경로를 통하여 움직이다.
[Ⅰ][9]「1」어떤 일을 하기 위하여 다른 곳으로 이동하다.
[Ⅰ][9]「2」노름이나 내기에서 얼마의 액수를 판돈으로 걸다.
[Ⅰ][10]어떤 현상이나 상태가 유지되다.
[Ⅱ]말하는 이, 또는 말하는 이가 정하는 어떤 기준점에서 멀어지면서 앞말이 뜻하는 행동이나 상태가 계속 진행됨을 나타내는 말.",,,multi_gloss|native_manual_review|multi_pos|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:multi_pos risk:needs_manual_review
1등급,가두다,동사,고유어,,"「1」사람이나 동물을 벽으로 둘러싸거나 울타리가 있는 일정한 장소에 넣고 밖으로 나오지 못하게 하다.
「2」물 따위를 일정한 곳에 괴어 있게 하다.",,"「1」사람이나 동물을 벽으로 둘러싸거나 울타리가 있는 일정한 장소에 넣고 밖으로 나오지 못하게 하다.
「2」물 따위를 일정한 곳에 괴어 있게 하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가득,부사,고유어,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많은 모양.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있는 상태.
「4」감정이나 정서, 생각 따위가 많거나 강한 모양.",,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많은 모양.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있는 상태.
「4」감정이나 정서, 생각 따위가 많거나 강한 모양.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가득하다,형용사,고유어,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 상태에 있다.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많다.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있다.
「4」감정이나 정서, 생각 따위가 많거나 강하다.",,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 상태에 있다.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많다.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있다.
「4」감정이나 정서, 생각 따위가 많거나 강하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가라앉다,동사,고유어,,"[1]「1」물 따위에 떠 있거나 섞여 있는 것이 밑바닥으로 내려앉다.
[1]「2」안개나 연기 따위가 낮게 드리우다.
[2]「1」바람이나 물결이 잠잠해지다.
[2]「2」흥분이나 아픔, 괴로움 따위가 수그러들거나 사라지다.
[2]「3」숨결이나 기침 따위가 순하게 되다.
[2]「4」붓거나 부풀었던 것이 줄어들어 본래의 모습대로 되다.
[2]「5」떠들썩하던 것이 조용해지다.
[2]「6」세차게 일어나던 것이 뜸해지다.
[2]「7」성하던 것이 활기를 잃은 상태로 되다.",,"[1]「1」물 따위에 떠 있거나 섞여 있는 것이 밑바닥으로 내려앉다.
[1]「2」안개나 연기 따위가 낮게 드리우다.
[2]「1」바람이나 물결이 잠잠해지다.
[2]「2」흥분이나 아픔, 괴로움 따위가 수그러들거나 사라지다.
[2]「3」숨결이나 기침 따위가 순하게 되다.
[2]「4」붓거나 부풀었던 것이 줄어들어 본래의 모습대로 되다.
[2]「5」떠들썩하던 것이 조용해지다.
[2]「6」세차게 일어나던 것이 뜸해지다.
[2]「7」성하던 것이 활기를 잃은 상태로 되다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가래,명사,고유어,,허파에서 후두에 이르는 사이에서 생기는 끈끈한 분비물. 잿빛 흰색 또는 누런 녹색의 차진 풀같이 생겼으며 기침 따위에 의해서 밖으로 나온다.,,허파에서 후두에 이르는 사이에서 생기는 끈끈한 분비물. 잿빛 흰색 또는 누런 녹색의 차진 풀같이 생겼으며 기침 따위에 의해서 밖으로 나온다.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,가렵다,형용사,고유어,,"「1」피부에 긁고 싶은 느낌이 있다.
「2」못 견딜 정도로 어떤 말을 하거나 어떤 일을 하고 싶은 느낌이 있다.",,"「1」피부에 긁고 싶은 느낌이 있다.
「2」못 견딜 정도로 어떤 말을 하거나 어떤 일을 하고 싶은 느낌이 있다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가로,명사,고유어,,"[Ⅰ]왼쪽에서 오른쪽으로 나 있는 방향. 또는 그 길이.
[Ⅱ]왼쪽에서 오른쪽의 방향으로. 또는 옆으로 길게.",,"[Ⅰ]왼쪽에서 오른쪽으로 나 있는 방향. 또는 그 길이.
[Ⅱ]왼쪽에서 오른쪽의 방향으로. 또는 옆으로 길게.",,,multi_gloss|native_manual_review|multi_pos|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:multi_pos risk:needs_manual_review
1등급,가로막다,동사,고유어,,"「1」앞을 가로질러 막다.
「2」말이나 행동, 일 따위를 제대로 하지 못하도록 방해하거나 막다.
「3」앞이 보이지 않도록 가리다.",,"「1」앞을 가로질러 막다.
「2」말이나 행동, 일 따위를 제대로 하지 못하도록 방해하거나 막다.
「3」앞이 보이지 않도록 가리다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가루,명사,고유어,,딱딱한 물건을 보드라울 정도로 잘게 부수거나 갈아서 만든 것.,,딱딱한 물건을 보드라울 정도로 잘게 부수거나 갈아서 만든 것.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,가르다,동사,고유어,,"[1]쪼개거나 나누어 따로따로 되게 하다.
[2]「1」물체가 공기나 물을 양옆으로 열며 움직이다.
[2]「2」옳고 그름을 따져서 구분하다.
[2]「3」승부나 등수 따위를 서로 겨루어 정하다.
[2]「4」양쪽으로 열어젖히다.",,"[1]쪼개거나 나누어 따로따로 되게 하다.
[2]「1」물체가 공기나 물을 양옆으로 열며 움직이다.
[2]「2」옳고 그름을 따져서 구분하다.
[2]「3」승부나 등수 따위를 서로 겨루어 정하다.
[2]「4」양쪽으로 열어젖히다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가르치다,동사,고유어,,"[1]「1」지식이나 기능, 이치 따위를 깨닫게 하거나 익히게 하다.
[1]「2」그릇된 버릇 따위를 고치어 바로잡다.
[1]「3」교육 기관에 보내 교육을 받게 하다.
[2]「1」상대편이 아직 모르는 일을 알도록 일러 주다.
[2]「2」사람의 도리나 바른길을 일깨우다.",,"[1]「1」지식이나 기능, 이치 따위를 깨닫게 하거나 익히게 하다.
[1]「2」그릇된 버릇 따위를 고치어 바로잡다.
[1]「3」교육 기관에 보내 교육을 받게 하다.
[2]「1」상대편이 아직 모르는 일을 알도록 일러 주다.
[2]「2」사람의 도리나 바른길을 일깨우다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가르침,명사,고유어,,"도리나 지식, 사상, 기술 따위를 알게 함. 또는 그 내용.",,"도리나 지식, 사상, 기술 따위를 알게 함. 또는 그 내용.",,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,가리다,동사,고유어,,보이거나 통하지 못하도록 막다.,,보이거나 통하지 못하도록 막다.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,가리다,동사,고유어,,"「1」여럿 가운데서 하나를 구별하여 고르다.
「2」낯선 사람을 대하기 싫어하다.
「3」잘잘못이나 좋은 것과 나쁜 것 따위를 따져서 분간하다.
「4」똥오줌을 눌 곳에 누다.
「5」치러야 할 셈을 따져서 갚아 주다.
「6」음식을 골라서 먹다.
「7」머리를 대강 빗다.
「8」자기 일을 알아서 스스로 처리하다.",,"「1」여럿 가운데서 하나를 구별하여 고르다.
「2」낯선 사람을 대하기 싫어하다.
「3」잘잘못이나 좋은 것과 나쁜 것 따위를 따져서 분간하다.
「4」똥오줌을 눌 곳에 누다.
「5」치러야 할 셈을 따져서 갚아 주다.
「6」음식을 골라서 먹다.
「7」머리를 대강 빗다.
「8」자기 일을 알아서 스스로 처리하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가리키다,동사,고유어,,"「1」손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다.
「2」어떤 대상을 특별히 집어서 두드러지게 나타내다.",,"「1」손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다.
「2」어떤 대상을 특별히 집어서 두드러지게 나타내다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가만,부사,고유어,,"[Ⅰ]「1」움직이지 않거나 아무 말 없이.
[Ⅰ]「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
[Ⅰ]「3」마음을 가다듬어 곰곰이.
[Ⅰ]「4」말없이 찬찬히.
[Ⅱ]남의 말이나 행동을 막을 때 쓰는 말.",,"[Ⅰ]「1」움직이지 않거나 아무 말 없이.
[Ⅰ]「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
[Ⅰ]「3」마음을 가다듬어 곰곰이.
[Ⅰ]「4」말없이 찬찬히.
[Ⅱ]남의 말이나 행동을 막을 때 쓰는 말.",,,multi_gloss|native_manual_review|multi_pos|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:multi_pos risk:needs_manual_review
1등급,가만있다,동사,고유어,,"[1]몸을 움직이거나 활동하지 않고 조용히 있다.
[2]「1」어떤 대책을 세우거나 손을 쓰지 않고 잠자코 있다.
[2]「2」갑자기 떠오르지 않는 기억이나 생각을 더듬을 때에 별 뜻이 없이 하는 말.",,"[1]몸을 움직이거나 활동하지 않고 조용히 있다.
[2]「1」어떤 대책을 세우거나 손을 쓰지 않고 잠자코 있다.
[2]「2」갑자기 떠오르지 않는 기억이나 생각을 더듬을 때에 별 뜻이 없이 하는 말.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가만히,부사,고유어,,"「1」움직이지 않거나 아무 말 없이.
「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
「3」마음을 가다듬어 곰곰이.
「4」말없이 찬찬히.
「5」움직임 따위가 그다지 드러나지 않을 만큼 조용하고 은은하게.",,"「1」움직이지 않거나 아무 말 없이.
「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
「3」마음을 가다듬어 곰곰이.
「4」말없이 찬찬히.
「5」움직임 따위가 그다지 드러나지 않을 만큼 조용하고 은은하게.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가방,명사,고유어,,"물건을 넣어 들거나 메고 다닐 수 있게 만든 용구. 가죽이나 천, 비닐 따위로 만든다.",,"물건을 넣어 들거나 메고 다닐 수 있게 만든 용구. 가죽이나 천, 비닐 따위로 만든다.",,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,가볍다,형용사,고유어,,"[1]「1」무게가 일반적이거나 기준이 되는 대상의 것보다 적다.
[1]「2」비중이나 가치, 책임 따위가 낮거나 적다.
[1]「3」죄과나 실수 따위가 그다지 심하지 않다.
[1]「4」병세나 상처 따위가 그다지 심하지 않다.
[1]「5」생각이나 언어, 행동이 침착하지 못하거나 진득하지 못하다.
[1]「6」몸이나 손발 따위의 움직임이 날쌔고 재다.
[1]「7」노력이나 부담 따위가 적다.
[1]「8」정도가 대수롭지 않고 예사롭다.
[1]「9」다루기에 힘이 들지 않고 수월하다.
[1]「10」바람이나 물결 따위의 이는 정도가 약하다.
[1]「11」닿는 정도가 약하다.
[1]「12」소리나 색깔 따위가 밝고 경쾌하다.
[1]「13」세금이나 잘못에 대한 대가로 치르는 형량, 벌금 따위가 적다.
[1]「14」옷차림이나 화장이 요란하지 않고 산뜻하거나 활동하기에 편하다.
[2]마음이 홀가분하고 경쾌하다.",,"[1]「1」무게가 일반적이거나 기준이 되는 대상의 것보다 적다.
[1]「2」비중이나 가치, 책임 따위가 낮거나 적다.
[1]「3」죄과나 실수 따위가 그다지 심하지 않다.
[1]「4」병세나 상처 따위가 그다지 심하지 않다.
[1]「5」생각이나 언어, 행동이 침착하지 못하거나 진득하지 못하다.
[1]「6」몸이나 손발 따위의 움직임이 날쌔고 재다.
[1]「7」노력이나 부담 따위가 적다.
[1]「8」정도가 대수롭지 않고 예사롭다.
[1]「9」다루기에 힘이 들지 않고 수월하다.
[1]「10」바람이나 물결 따위의 이는 정도가 약하다.
[1]「11」닿는 정도가 약하다.
[1]「12」소리나 색깔 따위가 밝고 경쾌하다.
[1]「13」세금이나 잘못에 대한 대가로 치르는 형량, 벌금 따위가 적다.
[1]「14」옷차림이나 화장이 요란하지 않고 산뜻하거나 활동하기에 편하다.
[2]마음이 홀가분하고 경쾌하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가슴,명사,고유어,,"「1」배와 목 사이의 앞부분.
「2」목과 가로막 사이의 부분. 심장, 허파 등이 있다.
「3」등뼈, 갈비뼈, 가슴뼈와 가로막으로 이루어지는 원통 모양의 부분. 심장, 허파, 식도 따위를 보호하고 흉근으로 운동하여 호흡 운동을 돕는다.
「4」마음이나 생각.
「5」윗옷의 가슴 부분.
「6」젖이 있는 가슴 부위.
「7」절지동물의 가슴 부분의 마디.",,"「1」배와 목 사이의 앞부분.
「2」목과 가로막 사이의 부분. 심장, 허파 등이 있다.
「3」등뼈, 갈비뼈, 가슴뼈와 가로막으로 이루어지는 원통 모양의 부분. 심장, 허파, 식도 따위를 보호하고 흉근으로 운동하여 호흡 운동을 돕는다.
「4」마음이나 생각.
「5」윗옷의 가슴 부분.
「6」젖이 있는 가슴 부위.
「7」절지동물의 가슴 부분의 마디.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가시,명사,고유어,,"「1」바늘처럼 뾰족하게 돋친 것.
「2」물고기의 잔뼈.
「3」살에 박힌 나무 따위의 가늘고 뾰족한 거스러미.
「4」남을 공격하거나 불평불만의 뜻을 담은 표현을 비유적으로 이르는 말.
「5」식물의 줄기나 잎 또는 열매를 싸고 있는 것의 겉면에 바늘처럼 뾰족하게 돋아난 것. 식물이 제 몸을 보호하기 위하여 가지나 잎이 뾰족하게 변태한 것이다.",,"「1」바늘처럼 뾰족하게 돋친 것.
「2」물고기의 잔뼈.
「3」살에 박힌 나무 따위의 가늘고 뾰족한 거스러미.
「4」남을 공격하거나 불평불만의 뜻을 담은 표현을 비유적으로 이르는 말.
「5」식물의 줄기나 잎 또는 열매를 싸고 있는 것의 겉면에 바늘처럼 뾰족하게 돋아난 것. 식물이 제 몸을 보호하기 위하여 가지나 잎이 뾰족하게 변태한 것이다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가시다,동사,고유어,,"「1」어떤 상태가 없어지거나 달라지다.
「2」물 따위로 깨끗이 씻다.",,"「1」어떤 상태가 없어지거나 달라지다.
「2」물 따위로 깨끗이 씻다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,가엾다,형용사,고유어,,마음이 아플 만큼 안되고 처연하다.,,마음이 아플 만큼 안되고 처연하다.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
